A	Coef	t	p.value	p.value.adj	F	F.p.value	group2 - group1
6.19	0.044	0.1	0.92369	1	0.01	0.92369	0
4.54	0.276	0.59	0.5904	1	0.35	0.5904	0
4.02	-0.063	-0.4	0.71226	1	0.16	0.71226	0
5.66	0.093	0.42	0.70022	1	0.17	0.70022	0
4.21	-0.044	-0.13	0.90397	1	0.02	0.90397	0
6.57	0.125	0.57	0.60437	1	0.32	0.60437	0
6.77	-0.777	-1.17	0.3126	1	1.37	0.3126	0
2.83	0.064	0.37	0.73327	1	0.14	0.73327	0
5.18	0.104	0.41	0.70392	1	0.17	0.70392	0
5.2	-0.046	-0.29	0.78692	1	0.08	0.78692	0
4.23	0.15	0.97	0.39092	1	0.94	0.39092	0
3.08	0.202	0.66	0.54921	1	0.43	0.54921	0
4.47	-0.005	-0.03	0.97668	1	0	0.97668	0
6.05	-0.049	-0.27	0.80107	1	0.07	0.80107	0
4.31	-0.211	-1.12	0.32909	1	1.26	0.32909	0
4.65	-0.055	-0.25	0.81349	1	0.06	0.81349	0
4.19	-0.06	-0.34	0.75058	1	0.12	0.75058	0
2.85	-0.226	-1.26	0.28288	1	1.58	0.28288	0
3.56	-0.085	-0.48	0.65628	1	0.23	0.65628	0
3.8	0.049	0.19	0.85659	1	0.04	0.85659	0
3.26	-0.044	-0.2	0.85308	1	0.04	0.85308	0
4.72	0.178	1.06	0.35196	1	1.13	0.35196	0
3.96	0.106	0.53	0.62393	1	0.29	0.62393	0
5.18	0.24	1.14	0.32211	1	1.3	0.32211	0
3.24	-0.076	-0.48	0.66152	1	0.23	0.66152	0
5.98	0.403	1.93	0.13127	1	3.74	0.13127	0
3.83	0.022	0.12	0.91354	1	0.01	0.91354	0
4.95	0.005	0.03	0.97938	1	0	0.97938	0
7.24	-0.202	-0.79	0.47623	1	0.63	0.47623	0
8.09	0.119	0.53	0.62857	1	0.28	0.62857	0
6.22	0.111	0.64	0.56229	1	0.4	0.56229	0
5.64	-0.88	-4.49	0.01313	1	20.15	0.01313	0
8.12	-0.412	-0.72	0.51661	1	0.51	0.51661	0
9.1	0.073	0.16	0.88053	1	0.03	0.88053	0
5.54	-0.037	-0.1	0.92286	1	0.01	0.92286	0
7.14	-0.159	-0.08	0.93911	1	0.01	0.93911	0
4.78	-0.188	-0.72	0.51277	1	0.52	0.51277	0
6.7	-0.692	-1.38	0.2451	1	1.91	0.2451	0
5.81	0.176	0.98	0.38599	1	0.96	0.38599	0
7.2	-0.349	-1.09	0.3428	1	1.18	0.3428	0
4.36	-0.174	-0.48	0.65536	1	0.23	0.65536	0
7.61	-1.556	-3.04	0.04266	1	9.25	0.04266	0
6.09	-0.541	-1.41	0.23729	1	1.99	0.23729	0
5.66	0.193	1.04	0.36115	1	1.08	0.36115	0
6.35	-0.394	-0.65	0.55179	1	0.43	0.55179	0
5.76	0.14	0.58	0.59494	1	0.34	0.59494	0
6.06	0.419	1.63	0.18424	1	2.66	0.18424	0
4.4	-0.041	-0.2	0.85256	1	0.04	0.85256	0
5.66	-0.709	-1.06	0.35286	1	1.13	0.35286	0
5.08	0.465	1.65	0.18049	1	2.72	0.18049	0
6.74	0.054	0.23	0.83186	1	0.05	0.83186	0
5.74	0	0	0.99955	1	0	0.99955	0
5.95	0.06	0.3	0.77862	1	0.09	0.77862	0
3.81	-0.285	-1.85	0.14372	1	3.43	0.14372	0
3.22	0.371	0.95	0.3995	1	0.91	0.3995	0
6.11	3.177	7.81	0.00201	1	61.04	0.00201	0
5.12	-0.115	-0.7	0.52531	1	0.49	0.52531	0
3.95	0.643	2.77	0.05493	1	7.7	0.05493	0
6.62	1.162	1.77	0.1575	1	3.13	0.1575	0
3.69	0.082	0.5	0.64684	1	0.25	0.64684	0
3.71	-0.04	-0.16	0.8807	1	0.03	0.8807	0
10.56	2.085	6.27	0.00431	1	39.34	0.00431	0
5.2	-0.288	-1.61	0.18769	1	2.61	0.18769	0
5.46	-1.354	-1.53	0.20679	1	2.34	0.20679	0
5.07	-0.049	-0.27	0.80054	1	0.07	0.80054	0
6.45	0.251	0.63	0.56576	1	0.4	0.56576	0
5.16	-0.585	-0.85	0.44493	1	0.73	0.44493	0
4.15	-0.648	-1.37	0.24815	1	1.88	0.24815	0
4.36	0.141	0.7	0.52413	1	0.49	0.52413	0
3.1	-0.053	-0.31	0.77472	1	0.09	0.77472	0
3.31	-0.032	-0.17	0.8752	1	0.03	0.8752	0
4.5	0.952	2.98	0.04537	1	8.85	0.04537	0
4.74	-0.049	-0.28	0.79311	1	0.08	0.79311	0
5.91	0.054	0.35	0.74719	1	0.12	0.74719	0
4.14	0.292	0.79	0.47736	1	0.62	0.47736	0
6.91	0.425	1.93	0.13125	1	3.74	0.13125	0
4.8	0.286	1.47	0.22206	1	2.15	0.22206	0
3.37	0.272	1.19	0.3063	1	1.41	0.3063	0
5.25	-0.325	-1.78	0.15509	1	3.18	0.15509	0
3.89	0.143	0.9	0.42501	1	0.8	0.42501	0
5.2	0.138	0.62	0.57004	1	0.39	0.57004	0
6.07	0.356	2.15	0.10349	1	4.64	0.10349	0
3.89	0.041	0.21	0.8424	1	0.05	0.8424	0
4.64	0.098	0.48	0.66151	1	0.23	0.66151	0
5.28	0.068	0.36	0.73859	1	0.13	0.73859	0
5.46	1.19	2.94	0.047	1	8.63	0.047	0
7.91	0.479	0.76	0.49445	1	0.57	0.49445	0
5.65	-0.039	-0.21	0.84676	1	0.04	0.84676	0
5.9	0.149	0.91	0.41836	1	0.83	0.41836	0
6.15	0.328	0.86	0.44088	1	0.74	0.44088	0
3.14	0.079	0.39	0.7169	1	0.15	0.7169	0
4.44	0.049	0.32	0.76622	1	0.1	0.76622	0
5.79	0.108	0.69	0.52985	1	0.48	0.52985	0
6.24	0.106	0.64	0.5607	1	0.41	0.5607	0
6.03	0	0	0.9995	1	0	0.9995	0
3.62	-0.121	-0.49	0.65361	1	0.24	0.65361	0
8.08	0.192	0.42	0.69635	1	0.18	0.69635	0
5.89	-0.047	-0.25	0.8192	1	0.06	0.8192	0
5.57	-0.167	-0.83	0.45573	1	0.69	0.45573	0
3.69	-0.323	-1.6	0.18997	1	2.57	0.18997	0
4.4	-0.094	-0.44	0.6859	1	0.19	0.6859	0
5.16	0.401	1.38	0.24615	1	1.9	0.24615	0
5.34	0.896	1.12	0.32848	1	1.27	0.32848	0
8.49	0.954	2.41	0.07941	1	5.78	0.07941	0
3.87	0.242	1.24	0.28892	1	1.53	0.28892	0
4.02	-0.169	-0.87	0.43943	1	0.75	0.43943	0
5.46	0.121	0.49	0.65373	1	0.24	0.65373	0
6.25	0.74	1.4	0.24101	1	1.95	0.24101	0
5.29	-0.016	-0.08	0.94116	1	0.01	0.94116	0
7.08	0.311	0.64	0.55777	1	0.41	0.55777	0
5.61	0.262	1.53	0.20776	1	2.33	0.20776	0
4.48	-0.003	-0.02	0.98671	1	0	0.98671	0
4.69	-0.016	-0.09	0.93041	1	0.01	0.93041	0
4.14	-0.006	-0.03	0.98012	1	0	0.98012	0
9.7	0.479	1.39	0.24268	1	1.93	0.24268	0
5.56	0.521	1.77	0.15722	1	3.14	0.15722	0
3.69	0.031	0.19	0.8628	1	0.03	0.8628	0
5.28	0.109	0.65	0.55232	1	0.43	0.55232	0
3.98	-0.025	-0.14	0.89565	1	0.02	0.89565	0
5.58	0.195	1	0.37868	1	1	0.37868	0
5.29	0.276	1.32	0.26404	1	1.73	0.26404	0
3.86	0.683	1.92	0.13359	1	3.68	0.13359	0
4.76	0.072	0.34	0.75195	1	0.12	0.75195	0
4.19	0.356	1.87	0.14061	1	3.5	0.14061	0
5.25	0.684	3.58	0.02658	1	12.81	0.02658	0
5.48	-0.05	-0.27	0.79829	1	0.08	0.79829	0
4.41	-0.059	-0.31	0.77338	1	0.1	0.77338	0
5	-0.238	-0.84	0.45127	1	0.71	0.45127	0
7.64	0.298	1.35	0.25405	1	1.82	0.25405	0
7.91	-0.158	-0.37	0.73436	1	0.13	0.73436	0
3.45	-0.373	-1.74	0.16296	1	3.03	0.16296	0
5.47	0.015	0.09	0.93277	1	0.01	0.93277	0
5.32	-0.075	-0.3	0.78258	1	0.09	0.78258	0
6.26	-0.18	-0.57	0.60415	1	0.32	0.60415	0
6.87	0.205	1.05	0.35852	1	1.1	0.35852	0
3.64	-0.118	-0.72	0.51447	1	0.52	0.51447	0
3.35	-0.284	-1.64	0.18284	1	2.68	0.18284	0
5.02	-0.154	-0.88	0.43257	1	0.77	0.43257	0
4.71	0.158	0.6	0.58495	1	0.36	0.58495	0
5.68	-0.077	-0.39	0.71653	1	0.15	0.71653	0
5.89	0.096	0.49	0.65143	1	0.24	0.65143	0
5.56	0.111	0.68	0.53662	1	0.46	0.53662	0
4.16	0.093	0.57	0.60185	1	0.32	0.60185	0
4.48	-0.058	-0.35	0.74836	1	0.12	0.74836	0
5.47	0.452	1.99	0.12375	1	3.95	0.12375	0
6.77	0.029	0.07	0.94724	1	0.01	0.94724	0
4.98	0.481	1.11	0.33473	1	1.23	0.33473	0
3.5	0.315	0.89	0.42789	1	0.79	0.42789	0
5.51	0.275	0.73	0.50682	1	0.54	0.50682	0
3.84	0.029	0.15	0.88773	1	0.02	0.88773	0
12.11	0.442	2.14	0.10527	1	4.57	0.10527	0
6.71	1.21	1.7	0.17016	1	2.89	0.17016	0
6.99	0.19	0.55	0.61373	1	0.3	0.61373	0
3.85	-0.114	-0.72	0.51583	1	0.51	0.51583	0
5.28	-0.13	-0.68	0.53744	1	0.46	0.53744	0
5.47	0.114	0.61	0.57753	1	0.37	0.57753	0
3.51	-0.037	-0.2	0.84845	1	0.04	0.84845	0
3.96	-0.252	-1.06	0.35528	1	1.11	0.35528	0
5.8	0.076	0.42	0.70005	1	0.17	0.70005	0
3.42	0.049	0.3	0.77742	1	0.09	0.77742	0
6.13	0.083	0.47	0.6646	1	0.22	0.6646	0
4.02	0.005	0.03	0.97735	1	0	0.97735	0
4.77	0.15	0.63	0.56463	1	0.4	0.56463	0
3.7	-0.064	-0.35	0.74441	1	0.12	0.74441	0
3.42	0.165	0.95	0.39847	1	0.91	0.39847	0
4.79	0.207	1.14	0.32308	1	1.3	0.32308	0
3.98	0.254	1.56	0.19877	1	2.45	0.19877	0
4.26	-0.028	-0.16	0.87802	1	0.03	0.87802	0
3.72	-0.115	-0.69	0.52961	1	0.48	0.52961	0
4.7	0.013	0.06	0.95637	1	0	0.95637	0
5.93	0.01	0.06	0.95348	1	0	0.95348	0
3.39	-0.061	-0.33	0.75732	1	0.11	0.75732	0
6.04	0.102	0.54	0.61984	1	0.29	0.61984	0
4.18	0.204	1.11	0.3326	1	1.24	0.3326	0
5.07	0.082	0.49	0.65257	1	0.24	0.65257	0
6.46	0.178	0.98	0.38535	1	0.97	0.38535	0
4.65	-0.131	-0.65	0.55325	1	0.42	0.55325	0
4.64	0.227	1.32	0.26372	1	1.73	0.26372	0
3.67	-0.003	-0.02	0.98809	1	0	0.98809	0
6.66	-0.057	-0.14	0.89911	1	0.02	0.89911	0
5.01	0.112	0.59	0.58956	1	0.35	0.58956	0
5.7	1.506	1.54	0.20323	1	2.39	0.20323	0
5.34	1.083	2.78	0.0544	1	7.75	0.0544	0
3.49	-0.204	-0.7	0.52544	1	0.49	0.52544	0
3.71	-0.108	-0.33	0.75765	1	0.11	0.75765	0
4.54	0.015	0.09	0.93619	1	0.01	0.93619	0
8.66	-0.008	-0.02	0.98274	1	0	0.98274	0
2.88	-0.152	-0.93	0.40994	1	0.86	0.40994	0
3.07	0.142	0.74	0.50194	1	0.55	0.50194	0
4.26	0.292	1.55	0.20298	1	2.39	0.20298	0
3.64	-0.426	-1.48	0.21794	1	2.2	0.21794	0
3.3	0.246	0.63	0.56516	1	0.4	0.56516	0
3.9	-0.181	-1.02	0.36872	1	1.05	0.36872	0
3.88	-0.007	-0.03	0.97561	1	0	0.97561	0
2.93	0.013	0.07	0.9464	1	0.01	0.9464	0
5.63	-0.074	-0.28	0.79453	1	0.08	0.79453	0
5.25	1.128	2.24	0.09401	1	5.03	0.09401	0
4.97	-0.061	-0.3	0.77731	1	0.09	0.77731	0
3.6	0.06	0.3	0.78048	1	0.09	0.78048	0
3.77	0.214	0.61	0.57664	1	0.37	0.57664	0
5.32	0.114	0.27	0.80462	1	0.07	0.80462	0
4.27	-0.362	-2.09	0.11014	1	4.39	0.11014	0
2.93	0.161	0.85	0.448	1	0.72	0.448	0
3.82	-0.152	-0.8	0.47105	1	0.64	0.47105	0
4.16	-2.039	-1.29	0.27194	1	1.66	0.27194	0
5.53	-0.083	-0.29	0.78642	1	0.08	0.78642	0
3.37	0.143	0.51	0.64197	1	0.26	0.64197	0
2.71	0.049	0.31	0.77484	1	0.09	0.77484	0
6.07	-0.025	-0.15	0.89211	1	0.02	0.89211	0
5.39	-0.425	-1.56	0.20058	1	2.42	0.20058	0
5.22	0.064	0.3	0.78385	1	0.09	0.78385	0
3.78	0.011	0.07	0.94899	1	0	0.94899	0
4.28	-0.082	-0.47	0.66334	1	0.22	0.66334	0
5.18	-3.326	-1.4	0.23958	1	1.96	0.23958	0
6.21	0.07	0.37	0.734	1	0.13	0.734	0
6.3	-0.058	-0.17	0.87621	1	0.03	0.87621	0
3.2	0.136	0.85	0.44572	1	0.73	0.44572	0
6.12	0.112	0.48	0.65959	1	0.23	0.65959	0
4.21	0.06	0.38	0.7253	1	0.14	0.7253	0
3.41	-0.204	-1.3	0.27034	1	1.68	0.27034	0
5.45	0.107	0.64	0.56117	1	0.41	0.56117	0
5.48	-0.126	-0.16	0.88105	1	0.03	0.88105	0
3.31	0.195	0.9	0.42511	1	0.8	0.42511	0
5.09	-0.076	-0.42	0.69451	1	0.18	0.69451	0
4.48	-0.078	-0.24	0.82096	1	0.06	0.82096	0
4.62	0.112	0.55	0.61347	1	0.3	0.61347	0
6.16	0.063	0.26	0.81126	1	0.07	0.81126	0
9.07	-0.068	-0.36	0.7366	1	0.13	0.7366	0
6.15	0.294	0.81	0.4666	1	0.66	0.4666	0
6.54	-0.007	-0.04	0.96844	1	0	0.96844	0
9.33	-0.379	-1.88	0.13911	1	3.54	0.13911	0
6.33	-0.061	-0.28	0.79793	1	0.08	0.79793	0
2.87	0.127	0.77	0.4884	1	0.59	0.4884	0
4.61	0.167	0.25	0.81233	1	0.07	0.81233	0
4.11	-0.278	-1.7	0.16987	1	2.9	0.16987	0
5.61	-0.044	-0.23	0.8309	1	0.05	0.8309	0
6.43	0.159	0.92	0.41585	1	0.84	0.41585	0
3.66	-0.078	-0.5	0.64666	1	0.25	0.64666	0
4.26	-0.044	-0.19	0.85637	1	0.04	0.85637	0
4.3	0.041	0.24	0.82344	1	0.06	0.82344	0
4.33	0.774	2.98	0.045	1	8.9	0.045	0
3.25	-0.021	-0.13	0.89984	1	0.02	0.89984	0
4.79	0.116	0.53	0.62765	1	0.28	0.62765	0
4.12	-1.427	-1.25	0.28501	1	1.56	0.28501	0
6.36	-0.688	-3.57	0.02687	1	12.72	0.02687	0
3.86	0.062	0.38	0.72535	1	0.14	0.72535	0
3.33	0.12	0.6	0.58107	1	0.36	0.58107	0
5.75	-0.015	-0.07	0.94918	1	0	0.94918	0
3.95	0.286	1.39	0.24169	1	1.94	0.24169	0
3.51	0.17	1.08	0.34509	1	1.17	0.34509	0
5.85	0.777	2.25	0.09286	1	5.08	0.09286	0
4	0.124	0.77	0.48545	1	0.6	0.48545	0
3.16	0.233	0.86	0.44113	1	0.74	0.44113	0
3.69	0.004	0.03	0.97948	1	0	0.97948	0
3.63	0.001	0.01	0.99509	1	0	0.99509	0
7.61	-0.361	-1.83	0.14734	1	3.35	0.14734	0
5.74	-0.915	-0.79	0.47928	1	0.62	0.47928	0
4.23	-0.449	-1.28	0.27632	1	1.63	0.27632	0
5.53	-0.358	-1.32	0.26151	1	1.75	0.26151	0
2.71	0.013	0.08	0.94134	1	0.01	0.94134	0
6.69	-0.524	-2.65	0.06221	1	7.01	0.06221	0
6.49	-0.059	-0.29	0.78566	1	0.09	0.78566	0
4.78	0.15	0.57	0.6046	1	0.32	0.6046	0
3.47	-0.042	-0.19	0.85916	1	0.04	0.85916	0
8.25	-0.931	-1.64	0.18154	1	2.7	0.18154	0
3.28	-0.049	-0.24	0.82635	1	0.06	0.82635	0
5.1	-0.24	-0.53	0.62547	1	0.28	0.62547	0
3.99	0.038	0.23	0.82751	1	0.05	0.82751	0
4.9	-0.01	-0.06	0.95897	1	0	0.95897	0
5.26	0.516	2.15	0.1037	1	4.63	0.1037	0
5.07	0.149	0.79	0.47819	1	0.62	0.47819	0
6.39	-0.871	-1.48	0.21887	1	2.19	0.21887	0
4.31	-0.035	-0.23	0.83367	1	0.05	0.83367	0
5.57	-0.265	-1.73	0.16484	1	2.99	0.16484	0
4.44	-0.008	-0.03	0.97507	1	0	0.97507	0
6.12	0.116	0.76	0.49262	1	0.58	0.49262	0
4.82	-0.111	-0.72	0.51302	1	0.52	0.51302	0
3.22	-0.171	-1.04	0.36371	1	1.07	0.36371	0
7.34	-0.186	-0.72	0.51302	1	0.52	0.51302	0
4.41	-0.021	-0.11	0.91526	1	0.01	0.91526	0
5.28	-0.02	-0.1	0.92241	1	0.01	0.92241	0
5.74	0.064	0.37	0.73356	1	0.13	0.73356	0
3.99	0.355	0.9	0.42159	1	0.82	0.42159	0
4.56	-0.26	-1.09	0.34141	1	1.19	0.34141	0
3.38	0.146	0.83	0.45751	1	0.69	0.45751	0
6.44	-1.616	-2.35	0.08366	1	5.54	0.08366	0
12.3	-0.357	-1.23	0.29165	1	1.51	0.29165	0
3.3	-0.233	-0.95	0.40152	1	0.9	0.40152	0
5.06	-0.09	-0.47	0.66695	1	0.22	0.66695	0
3.02	-0.108	-0.7	0.525	1	0.49	0.525	0
3.28	0.329	1.02	0.36861	1	1.05	0.36861	0
7.45	0.084	0.29	0.78408	1	0.09	0.78408	0
6.96	-0.146	-0.84	0.45389	1	0.7	0.45389	0
6.36	0.237	1.31	0.26477	1	1.73	0.26477	0
5.88	-0.372	-1	0.37946	1	0.99	0.37946	0
5.48	-0.962	-1.47	0.22083	1	2.17	0.22083	0
5.6	0.59	1.08	0.34668	1	1.16	0.34668	0
5.23	0.452	1.18	0.30998	1	1.38	0.30998	0
6.42	0.34	2.11	0.10781	1	4.47	0.10781	0
3.98	0.105	0.56	0.60789	1	0.31	0.60789	0
5.64	0.074	0.33	0.76048	1	0.11	0.76048	0
2.97	-0.054	-0.34	0.7504	1	0.12	0.7504	0
5.6	-1.414	-3.36	0.03202	1	11.3	0.03202	0
5.17	-0.239	-0.98	0.38536	1	0.97	0.38536	0
3.12	-0.106	-0.32	0.76331	1	0.11	0.76331	0
4.79	-0.09	-0.36	0.73954	1	0.13	0.73954	0
6.88	0.027	0.09	0.93398	1	0.01	0.93398	0
4.65	-0.265	-0.75	0.49699	1	0.57	0.49699	0
8.21	-0.713	-1.42	0.23536	1	2.01	0.23536	0
8.98	0.116	0.21	0.84462	1	0.04	0.84462	0
4.79	0.12	0.53	0.62845	1	0.28	0.62845	0
2.82	0.02	0.1	0.92857	1	0.01	0.92857	0
6.39	-0.354	-1.67	0.17578	1	2.8	0.17578	0
6.36	0.596	2.05	0.11561	1	4.2	0.11561	0
6.63	0.129	0.38	0.72462	1	0.14	0.72462	0
3.33	0.038	0.22	0.83584	1	0.05	0.83584	0
4.66	-0.581	-2.07	0.11364	1	4.27	0.11364	0
4.53	0.049	0.29	0.78747	1	0.08	0.78747	0
5.8	-0.24	-0.46	0.66959	1	0.21	0.66959	0
4.59	1.005	3.06	0.04201	1	9.35	0.04201	0
7.39	0.96	3.38	0.03145	1	11.44	0.03145	0
7.68	-1.01	-1.88	0.13863	1	3.55	0.13863	0
3.39	-0.056	-0.25	0.81527	1	0.06	0.81527	0
4.9	-0.18	-0.46	0.67393	1	0.21	0.67393	0
2.86	-0.012	-0.08	0.94313	1	0.01	0.94313	0
7	0.208	1.13	0.3271	1	1.27	0.3271	0
3.96	0.352	0.82	0.46212	1	0.67	0.46212	0
8.64	-0.171	-0.79	0.47913	1	0.62	0.47913	0
3.39	0	0	0.99972	1	0	0.99972	0
7.69	-0.215	-0.53	0.62426	1	0.28	0.62426	0
4.74	-0.17	-0.58	0.59513	1	0.34	0.59513	0
4.75	0.128	0.79	0.47912	1	0.62	0.47912	0
6.95	-0.532	-2.36	0.08296	1	5.58	0.08296	0
6.51	0.295	0.33	0.76213	1	0.11	0.76213	0
4.46	0.007	0.05	0.96602	1	0	0.96602	0
7.16	-0.203	-0.68	0.53575	1	0.46	0.53575	0
9.58	-0.084	-0.29	0.78907	1	0.08	0.78907	0
5.82	0.165	0.73	0.51039	1	0.53	0.51039	0
5.46	-0.168	-0.79	0.47673	1	0.63	0.47673	0
4.9	0.177	1.13	0.3262	1	1.28	0.3262	0
6.12	-0.343	-0.77	0.48918	1	0.59	0.48918	0
5.42	-0.028	-0.15	0.88848	1	0.02	0.88848	0
6.7	-0.184	-0.31	0.77568	1	0.09	0.77568	0
5.52	-0.331	-1.11	0.33256	1	1.24	0.33256	0
4.39	-0.386	-0.54	0.62126	1	0.29	0.62126	0
5.98	-0.824	-1.39	0.24391	1	1.92	0.24391	0
4.5	0.059	0.37	0.73507	1	0.13	0.73507	0
4.49	-0.118	-0.67	0.54126	1	0.45	0.54126	0
8.33	0.702	0.71	0.52148	1	0.5	0.52148	0
5.94	-0.014	-0.09	0.93378	1	0.01	0.93378	0
3.87	0.355	0.77	0.48792	1	0.59	0.48792	0
8.95	-0.044	-0.03	0.97641	1	0	0.97641	0
4.27	-0.634	-2.14	0.10508	1	4.57	0.10508	0
6.6	-0.105	-0.67	0.54351	1	0.45	0.54351	0
5.54	-0.819	-1.57	0.19713	1	2.47	0.19713	0
8.07	0.24	1.37	0.24818	1	1.88	0.24818	0
4.09	0.316	1.44	0.23021	1	2.06	0.23021	0
4.95	-0.069	-0.29	0.79084	1	0.08	0.79084	0
5.24	-0.346	-1.53	0.20632	1	2.35	0.20632	0
6.88	-0.239	-0.51	0.64008	1	0.26	0.64008	0
4.2	-0.123	-0.72	0.5129	1	0.52	0.5129	0
5.22	-0.083	-0.37	0.73377	1	0.13	0.73377	0
6.3	-0.04	-0.24	0.81989	1	0.06	0.81989	0
4.29	-0.277	-1.42	0.23521	1	2.01	0.23521	0
5.89	1.304	2.09	0.11057	1	4.37	0.11057	0
5.36	0.392	0.77	0.49015	1	0.59	0.49015	0
6.11	-0.233	-1.23	0.29029	1	1.52	0.29029	0
5.41	0.12	0.51	0.6391	1	0.26	0.6391	0
3.4	0.582	1.99	0.12294	1	3.97	0.12294	0
2.98	-0.065	-0.42	0.69475	1	0.18	0.69475	0
9.1	-0.141	-0.63	0.56741	1	0.39	0.56741	0
3.99	0.606	2.77	0.05495	1	7.69	0.05495	0
6.26	0.299	1.94	0.13018	1	3.77	0.13018	0
3.14	-0.671	-1.37	0.24931	1	1.87	0.24931	0
3.94	-0.406	-1.24	0.28905	1	1.53	0.28905	0
2.75	-0.138	-0.81	0.46743	1	0.65	0.46743	0
4.08	-0.016	-0.1	0.92668	1	0.01	0.92668	0
3.68	-0.15	-0.78	0.48205	1	0.61	0.48205	0
6.06	-0.405	-1.02	0.37106	1	1.03	0.37106	0
7.2	-0.528	-2.62	0.06402	1	6.85	0.06402	0
3.92	-0.225	-0.81	0.46614	1	0.66	0.46614	0
4.37	-0.355	-0.94	0.40633	1	0.88	0.40633	0
5.76	-0.196	-0.29	0.78649	1	0.08	0.78649	0
8.18	-0.187	-1.04	0.36006	1	1.09	0.36006	0
3.74	-0.193	-0.63	0.56313	1	0.4	0.56313	0
3.28	0.349	2.1	0.10962	1	4.41	0.10962	0
3.22	0.23	1.48	0.21914	1	2.19	0.21914	0
6.53	0.146	0.56	0.60793	1	0.31	0.60793	0
7.38	0.551	1.38	0.24518	1	1.91	0.24518	0
3.18	-0.067	-0.37	0.72998	1	0.14	0.72998	0
5.1	-0.413	-1.16	0.31526	1	1.35	0.31526	0
5.74	-0.168	-0.86	0.44371	1	0.73	0.44371	0
4.72	0.238	0.88	0.43372	1	0.77	0.43372	0
6.96	-0.599	-1.21	0.2974	1	1.47	0.2974	0
5.58	-0.079	-0.38	0.72142	1	0.15	0.72142	0
3.75	-0.015	-0.09	0.93386	1	0.01	0.93386	0
5.8	1.174	1.92	0.13355	1	3.68	0.13355	0
5.06	0.227	0.74	0.50309	1	0.55	0.50309	0
5.77	0.412	1.25	0.28624	1	1.55	0.28624	0
8.93	-0.031	-0.2	0.85218	1	0.04	0.85218	0
6.85	-0.199	-0.6	0.58045	1	0.37	0.58045	0
5.22	0.08	0.46	0.67096	1	0.21	0.67096	0
5.68	-0.77	-1.32	0.26165	1	1.75	0.26165	0
4.79	-0.368	-1.08	0.34377	1	1.18	0.34377	0
6.53	-0.588	-1.75	0.16164	1	3.05	0.16164	0
4.04	0.189	1.13	0.32551	1	1.28	0.32551	0
3.52	-0.389	-1.14	0.32345	1	1.3	0.32345	0
4.75	0.303	0.83	0.45812	1	0.68	0.45812	0
3.34	-0.076	-0.42	0.6954	1	0.18	0.6954	0
4.4	0.084	0.32	0.76758	1	0.1	0.76758	0
7.71	0.21	0.63	0.56485	1	0.4	0.56485	0
5.02	-0.052	-0.28	0.79107	1	0.08	0.79107	0
3.04	-0.094	-0.61	0.577	1	0.37	0.577	0
3.24	0.178	0.87	0.4361	1	0.76	0.4361	0
5.25	-0.122	-0.36	0.7363	1	0.13	0.7363	0
3.98	0.018	0.09	0.93076	1	0.01	0.93076	0
5.13	0.169	0.94	0.40282	1	0.89	0.40282	0
5.63	-0.159	-0.61	0.57954	1	0.37	0.57954	0
4	-0.147	-0.78	0.4837	1	0.6	0.4837	0
4.28	-0.148	-0.86	0.44163	1	0.74	0.44163	0
4.64	0.204	1.02	0.36874	1	1.05	0.36874	0
3.33	0.251	1.29	0.27329	1	1.65	0.27329	0
5.49	-0.029	-0.18	0.86789	1	0.03	0.86789	0
5.57	-0.741	-1.68	0.17366	1	2.83	0.17366	0
3.98	0.121	0.64	0.56081	1	0.41	0.56081	0
3.81	0.106	0.59	0.59168	1	0.34	0.59168	0
5.37	0.266	1.59	0.19305	1	2.53	0.19305	0
2.9	-0.064	-0.33	0.76138	1	0.11	0.76138	0
4.54	-0.707	-1.51	0.21076	1	2.29	0.21076	0
4.95	0.168	0.65	0.55496	1	0.42	0.55496	0
5.13	-0.028	-0.13	0.89971	1	0.02	0.89971	0
5.18	0.048	0.31	0.77271	1	0.1	0.77271	0
2.74	-0.213	-1.3	0.26934	1	1.69	0.26934	0
6.13	0.26	0.52	0.6347	1	0.27	0.6347	0
5.02	-0.078	-0.51	0.6382	1	0.26	0.6382	0
2.95	-0.044	-0.25	0.8178	1	0.06	0.8178	0
7.1	0.908	1.83	0.1473	1	3.35	0.1473	0
6.02	-0.241	-0.9	0.42373	1	0.81	0.42373	0
6.95	0.149	0.95	0.40114	1	0.9	0.40114	0
3	-0.233	-1.49	0.2172	1	2.21	0.2172	0
3.93	0.195	1.2	0.30196	1	1.44	0.30196	0
6.96	-0.294	-1.09	0.34372	1	1.18	0.34372	0
5.75	0.117	0.68	0.53765	1	0.46	0.53765	0
7.49	0.443	0.84	0.45055	1	0.71	0.45055	0
5.25	-0.232	-1.48	0.21961	1	2.18	0.21961	0
6.25	0.193	1.03	0.36779	1	1.05	0.36779	0
4.1	0.002	0.01	0.99429	1	0	0.99429	0
6.54	0.364	2.1	0.10961	1	4.41	0.10961	0
3.41	-0.256	-1.63	0.18471	1	2.65	0.18471	0
5.23	0.024	0.12	0.91202	1	0.01	0.91202	0
3.95	-0.197	-1.21	0.29843	1	1.46	0.29843	0
9.51	-0.573	-0.55	0.61175	1	0.31	0.61175	0
3.61	-0.006	-0.04	0.973	1	0	0.973	0
