A	Coef	t	p.value	p.value.adj	F	F.p.value	group2 - group1
8.4	-0.285	-0.58	0.59321	1	0.34	0.59321	0
9.82	-0.038	-0.07	0.94583	1	0.01	0.94583	0
10.2	-0.375	-1.23	0.29043	1	1.52	0.29043	0
6.62	0.064	0.33	0.758	1	0.11	0.758	0
10.87	-0.405	-0.86	0.44185	1	0.74	0.44185	0
6.53	0.897	0.89	0.43007	1	0.78	0.43007	0
8.14	-0.137	-0.7	0.52773	1	0.48	0.52773	0
11.49	-0.641	-2.06	0.11383	1	4.26	0.11383	0
11.83	-0.028	-0.15	0.89207	1	0.02	0.89207	0
10.38	-0.594	-1.98	0.12478	1	3.92	0.12478	0
9.62	-0.407	-0.86	0.44048	1	0.75	0.44048	0
10.79	-0.247	-0.8	0.47113	1	0.64	0.47113	0
9.28	-0.554	-1.51	0.21219	1	2.27	0.21219	0
9.58	-0.28	-0.7	0.52532	1	0.49	0.52532	0
11.5	-0.786	-3.05	0.04219	1	9.32	0.04219	0
8.49	0.975	2.2	0.09867	1	4.83	0.09867	0
8.04	0.307	1.73	0.16387	1	3.01	0.16387	0
10.52	-0.271	-1.15	0.31942	1	1.32	0.31942	0
9.99	-0.368	-0.67	0.53983	1	0.46	0.53983	0
9.09	0.923	2.49	0.07315	1	6.18	0.07315	0
10.47	-0.396	-1.09	0.3436	1	1.18	0.3436	0
7.95	1.094	1.21	0.29759	1	1.47	0.29759	0
7.54	-0.022	-0.01	0.99412	1	0	0.99412	0
9.25	0.307	0.39	0.72125	1	0.15	0.72125	0
8.49	0.433	2.31	0.0879	1	5.32	0.0879	0
9.46	0.583	3.3	0.03372	1	10.9	0.03372	0
8.61	0.983	5.33	0.00748	1	28.43	0.00748	0
8.61	-0.965	-1.24	0.28927	1	1.53	0.28927	0
5.59	1.11	5.39	0.00719	1	29.09	0.00719	0
7.21	0.699	4.23	0.01583	1	17.92	0.01583	0
10.05	0.124	0.45	0.67652	1	0.2	0.67652	0
12.64	-0.18	-0.85	0.44558	1	0.73	0.44558	0
9.81	-0.412	-1.26	0.28166	1	1.59	0.28166	0
6.18	-0.078	-0.25	0.81889	1	0.06	0.81889	0
10.58	-0.507	-1.08	0.34449	1	1.17	0.34449	0
8.67	0.317	1.34	0.25754	1	1.79	0.25754	0
10.04	0.196	0.25	0.81605	1	0.06	0.81605	0
11.16	-0.335	-0.88	0.43349	1	0.77	0.43349	0
10.28	1.014	2.32	0.08657	1	5.39	0.08657	0
9.23	0.489	2.42	0.0784	1	5.84	0.0784	0
8.17	0.588	3.18	0.03775	1	10.08	0.03775	0
6.56	0.171	1.01	0.37512	1	1.02	0.37512	0
3.39	-0.843	-3.28	0.03425	1	10.79	0.03425	0
8.45	-0.532	-3.36	0.03218	1	11.26	0.03218	0
8.22	-0.085	-0.18	0.8649	1	0.03	0.8649	0
5.65	0.084	0.46	0.66827	1	0.22	0.66827	0
12.22	-0.119	-0.65	0.5518	1	0.43	0.5518	0
6.91	-0.698	-2.21	0.09751	1	4.88	0.09751	0
9.88	-0.08	-0.26	0.80978	1	0.07	0.80978	0
9.41	0.178	0.5	0.6434	1	0.25	0.6434	0
10.68	0.489	2.15	0.10346	1	4.64	0.10346	0
8.36	-0.594	-2.29	0.0898	1	5.23	0.0898	0
9.01	0.239	0.52	0.6345	1	0.27	0.6345	0
8.28	1.052	2.08	0.11252	1	4.31	0.11252	0
9.5	-0.958	-1.59	0.19391	1	2.52	0.19391	0
8.68	-0.613	-2.07	0.11326	1	4.28	0.11326	0
8.59	-0.934	-2.34	0.08491	1	5.48	0.08491	0
9.85	0.063	0.4	0.70984	1	0.16	0.70984	0
9.33	-1.073	-1.91	0.13437	1	3.66	0.13437	0
6.37	-0.017	-0.08	0.93799	1	0.01	0.93799	0
10.3	0.01	0.04	0.97265	1	0	0.97265	0
8.97	0.601	0.52	0.63268	1	0.27	0.63268	0
11	0.316	1.86	0.14289	1	3.45	0.14289	0
7.7	1.433	2.86	0.05051	1	8.19	0.05051	0
8.59	-0.295	-0.95	0.40063	1	0.9	0.40063	0
9.71	-0.576	-1.08	0.34754	1	1.16	0.34754	0
10.26	-0.033	-0.11	0.91476	1	0.01	0.91476	0
8.79	-0.973	-4.38	0.01418	1	19.21	0.01418	0
8.51	0.925	1.91	0.13494	1	3.64	0.13494	0
7.52	0.802	1.21	0.29758	1	1.47	0.29758	0
10.04	0.09	0.19	0.86219	1	0.03	0.86219	0
8.93	-0.109	-0.49	0.65209	1	0.24	0.65209	0
10.61	-0.624	-1.13	0.32754	1	1.27	0.32754	0
12.48	-0.295	-1.22	0.29487	1	1.49	0.29487	0
12.76	-0.085	-0.4	0.70916	1	0.16	0.70916	0
10.72	0.644	1.81	0.15069	1	3.27	0.15069	0
6.85	0.621	2.52	0.07028	1	6.37	0.07028	0
7.24	-0.512	-1.03	0.36407	1	1.07	0.36407	0
7.36	-0.58	-1.53	0.20578	1	2.35	0.20578	0
7.45	0.893	5.53	0.00662	1	30.56	0.00662	0
8.57	0.648	3.07	0.04161	1	9.42	0.04161	0
5.31	0.102	0.58	0.59628	1	0.33	0.59628	0
12	-0.612	-1.55	0.2012	1	2.41	0.2012	0
8.98	-0.259	-1.18	0.30822	1	1.39	0.30822	0
7.61	0.635	1.98	0.12511	1	3.91	0.12511	0
8.66	0.282	0.79	0.47473	1	0.63	0.47473	0
7.49	0.632	1.32	0.26264	1	1.74	0.26264	0
6.94	0.536	2.09	0.11117	1	4.35	0.11117	0
6.89	0.275	1.13	0.32507	1	1.29	0.32507	0
8.37	-0.322	-0.83	0.458	1	0.69	0.458	0
6.62	0.18	1.07	0.35019	1	1.14	0.35019	0
8.86	-0.374	-1.14	0.3227	1	1.3	0.3227	0
11.16	-0.079	-0.38	0.72626	1	0.14	0.72626	0
6.91	-0.404	-0.14	0.89906	1	0.02	0.89906	0
9.54	-0.704	-1.49	0.21722	1	2.21	0.21722	0
10.9	-0.728	-1.68	0.17392	1	2.83	0.17392	0
7.98	1.195	5.66	0.00612	1	32.03	0.00612	0
9.92	0.192	0.93	0.40948	1	0.86	0.40948	0
12.05	-0.212	-0.72	0.51233	1	0.52	0.51233	0
6.19	-0.309	-1.34	0.25647	1	1.8	0.25647	0
7.01	-1.238	-4.64	0.01183	1	21.51	0.01183	0
8.24	-0.181	-0.37	0.73371	1	0.13	0.73371	0
8.7	-0.34	-0.68	0.53846	1	0.46	0.53846	0
9.13	-0.533	-1.12	0.32903	1	1.26	0.32903	0
8.07	-0.008	-0.05	0.96504	1	0	0.96504	0
11.47	0.804	0.88	0.43112	1	0.78	0.43112	0
7.49	-0.032	-0.08	0.93869	1	0.01	0.93869	0
10.31	0.362	1.39	0.24176	1	1.94	0.24176	0
7.6	0.923	1.45	0.22525	1	2.12	0.22525	0
8.13	0.009	0.01	0.99255	1	0	0.99255	0
7.97	0.39	2.36	0.08316	1	5.57	0.08316	0
10.69	0.097	0.55	0.61331	1	0.3	0.61331	0
8.5	-0.436	-0.9	0.42515	1	0.8	0.42515	0
7.91	0.243	0.68	0.53924	1	0.46	0.53924	0
8.82	-0.583	-1.17	0.31075	1	1.38	0.31075	0
8.42	0.92	5.59	0.00637	1	31.29	0.00637	0
8.74	0.819	4.23	0.01588	1	17.89	0.01588	0
7.39	0.204	0.5	0.64342	1	0.25	0.64342	0
8.1	-0.778	-1.51	0.21059	1	2.29	0.21059	0
7.05	0.036	0.02	0.98761	1	0	0.98761	0
12.18	-0.015	-0.08	0.94182	1	0.01	0.94182	0
8.14	0.244	0.66	0.54714	1	0.44	0.54714	0
9.5	-0.426	-0.94	0.40422	1	0.89	0.40422	0
7.93	-0.525	-0.5	0.6464	1	0.25	0.6464	0
6.68	0.329	1.25	0.28522	1	1.56	0.28522	0
9.26	-0.299	-0.8	0.47434	1	0.63	0.47434	0
7.54	0.789	1.45	0.22581	1	2.11	0.22581	0
7.45	1.053	0.99	0.38369	1	0.98	0.38369	0
7.38	1.127	0.75	0.49715	1	0.57	0.49715	0
10.53	0.372	1.26	0.28239	1	1.58	0.28239	0
10.81	0.565	2.75	0.05607	1	7.58	0.05607	0
9.32	0.345	0.65	0.55605	1	0.42	0.55605	0
9.9	-0.158	-0.44	0.68721	1	0.19	0.68721	0
7.98	1.055	2.22	0.09642	1	4.93	0.09642	0
8.48	0.31	1	0.37926	1	1	0.37926	0
7.87	0.484	1.14	0.32349	1	1.3	0.32349	0
10.09	0.032	0.08	0.93891	1	0.01	0.93891	0
12.01	0.156	0.74	0.50324	1	0.55	0.50324	0
12.18	0.136	0.79	0.4778	1	0.62	0.4778	0
9.21	-0.715	-0.81	0.46622	1	0.66	0.46622	0
8.3	-0.229	-0.4	0.71097	1	0.16	0.71097	0
6.15	0.302	1.09	0.34163	1	1.19	0.34163	0
5.67	-0.317	-1.69	0.17291	1	2.85	0.17291	0
9.67	0.2	0.48	0.66141	1	0.23	0.66141	0
7.81	0.519	1.43	0.23043	1	2.06	0.23043	0
8.67	0.083	0.35	0.74597	1	0.12	0.74597	0
8.3	0.126	0.39	0.71761	1	0.15	0.71761	0
9.53	-0.551	-1.15	0.31929	1	1.32	0.31929	0
8.6	-0.145	-0.6	0.5809	1	0.37	0.5809	0
10.44	0.406	1.22	0.29312	1	1.5	0.29312	0
9	0.649	1.34	0.25664	1	1.8	0.25664	0
9.06	-0.326	-1.15	0.31822	1	1.33	0.31822	0
3.78	0.227	0.91	0.41742	1	0.83	0.41742	0
4.69	0.313	1.59	0.19407	1	2.51	0.19407	0
9.05	-1.099	-5.05	0.00896	1	25.48	0.00896	0
6.66	-0.625	-2.16	0.10236	1	4.68	0.10236	0
10.08	-0.187	-0.4	0.71348	1	0.16	0.71348	0
9.06	0.275	0.35	0.74235	1	0.13	0.74235	0
13.02	-0.279	-1.06	0.35366	1	1.12	0.35366	0
8.92	-0.317	-0.64	0.56132	1	0.41	0.56132	0
9.49	0.587	1.03	0.36386	1	1.07	0.36386	0
9.56	0.594	1.74	0.16256	1	3.03	0.16256	0
8.38	0.1	0.63	0.56714	1	0.39	0.56714	0
10.3	1.706	4.94	0.00962	1	24.42	0.00962	0
11.26	0.782	4.8	0.01056	1	23.06	0.01056	0
7.84	-1.195	-1.85	0.14339	1	3.44	0.14339	0
12.16	0.479	1.75	0.16068	1	3.07	0.16068	0
8.1	-0.31	-1.35	0.255	1	1.81	0.255	0
7.93	-0.163	-0.51	0.64059	1	0.26	0.64059	0
9.85	0.074	0.48	0.66108	1	0.23	0.66108	0
7.07	0.067	0.21	0.84611	1	0.04	0.84611	0
9.62	-0.29	-0.5	0.64483	1	0.25	0.64483	0
7.82	-0.293	-1.04	0.36252	1	1.08	0.36252	0
7.12	-0.303	-0.49	0.65353	1	0.24	0.65353	0
12.58	-0.135	-0.76	0.49076	1	0.58	0.49076	0
10.54	0.132	0.51	0.64164	1	0.26	0.64164	0
12.42	-0.224	-1.44	0.22857	1	2.08	0.22857	0
9.84	-0.248	-1.07	0.349	1	1.15	0.349	0
6.07	-0.685	-1.4	0.24033	1	1.95	0.24033	0
11.23	-0.077	-0.41	0.70524	1	0.17	0.70524	0
11.69	-0.383	-1.52	0.20999	1	2.3	0.20999	0
7.66	0.592	0.33	0.7604	1	0.11	0.7604	0
9.92	-0.394	-0.97	0.39317	1	0.93	0.39317	0
10.63	-0.242	-1.03	0.36445	1	1.07	0.36445	0
7.55	-0.091	-0.11	0.91841	1	0.01	0.91841	0
9.29	0.589	2.75	0.05615	1	7.57	0.05615	0
8.58	-0.004	-0.02	0.98358	1	0	0.98358	0
9.96	0.085	0.53	0.62868	1	0.28	0.62868	0
9.19	-0.876	-1.24	0.2873	1	1.54	0.2873	0
9.77	-1.046	-1.42	0.23549	1	2	0.23549	0
7.95	-0.637	-1.68	0.17473	1	2.81	0.17473	0
12.14	-0.082	-0.51	0.63724	1	0.26	0.63724	0
5.81	-0.205	-0.78	0.48311	1	0.61	0.48311	0
6.76	-0.028	-0.11	0.92165	1	0.01	0.92165	0
9.82	-0.885	-3.41	0.03061	1	11.65	0.03061	0
8.09	-0.171	-0.17	0.87049	1	0.03	0.87049	0
9.12	-0.489	-0.67	0.54227	1	0.45	0.54227	0
10.44	0.057	0.14	0.89312	1	0.02	0.89312	0
5.8	0.949	5.15	0.00836	1	26.57	0.00836	0
7.15	0.486	3.07	0.04146	1	9.44	0.04146	0
8.75	0.103	0.51	0.63826	1	0.26	0.63826	0
10.76	0.39	1.23	0.29186	1	1.51	0.29186	0
9.37	0.578	2.15	0.1034	1	4.64	0.1034	0
9.57	0.037	0.24	0.82649	1	0.06	0.82649	0
8.57	-0.876	-2.28	0.09025	1	5.21	0.09025	0
7.14	0.063	0.11	0.91823	1	0.01	0.91823	0
8.15	0.094	0.2	0.84905	1	0.04	0.84905	0
8.82	0.028	0.06	0.95817	1	0	0.95817	0
8.35	0.135	0.27	0.80147	1	0.07	0.80147	0
8.76	-0.067	-0.18	0.86548	1	0.03	0.86548	0
11.14	0.459	1.51	0.21083	1	2.29	0.21083	0
6.44	-0.286	-0.77	0.48885	1	0.59	0.48885	0
5.14	-0.128	-0.51	0.63771	1	0.26	0.63771	0
5.68	-0.363	-1.86	0.14188	1	3.47	0.14188	0
6.7	-0.065	-0.31	0.77249	1	0.1	0.77249	0
11.23	0.015	0.07	0.94733	1	0	0.94733	0
9.16	-0.022	-0.02	0.98621	1	0	0.98621	0
9.31	-0.142	-0.31	0.77646	1	0.09	0.77646	0
7.8	-0.401	-0.98	0.38897	1	0.95	0.38897	0
9.83	-0.611	-0.91	0.41883	1	0.83	0.41883	0
9.79	0.107	0.55	0.61428	1	0.3	0.61428	0
5.84	-0.781	-1.52	0.20787	1	2.33	0.20787	0
3.09	0.109	0.67	0.54198	1	0.45	0.54198	0
8.67	-0.327	-0.71	0.52239	1	0.5	0.52239	0
7.64	-0.129	-0.16	0.8822	1	0.03	0.8822	0
9.02	0.597	0.62	0.57285	1	0.38	0.57285	0
11.66	-0.446	-2.16	0.10317	1	4.65	0.10317	0
9.85	0.837	3.48	0.02901	1	12.08	0.02901	0
10.5	-0.665	-1.37	0.24728	1	1.89	0.24728	0
10.57	-0.345	-0.82	0.46107	1	0.68	0.46107	0
9.81	-0.14	-0.41	0.70339	1	0.17	0.70339	0
7.58	0.643	2.9	0.04862	1	8.42	0.04862	0
9.51	0.619	1.95	0.12957	1	3.79	0.12957	0
9.57	0.375	0.65	0.55532	1	0.42	0.55532	0
10.56	0.147	0.68	0.53631	1	0.46	0.53631	0
8.61	0.568	0.6	0.58272	1	0.36	0.58272	0
5.43	0.6	2.37	0.08228	1	5.62	0.08228	0
8.44	-0.13	-0.39	0.72122	1	0.15	0.72122	0
9.69	0.318	0.98	0.3867	1	0.96	0.3867	0
